
2025-07-13 19:47:56.663 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/main.py')}
2025-07-13 19:47:58.247 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 19:47:58.405 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 19:47:58.857 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 19:47:58.405 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 19:48:02.536 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 19:48:02.691 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 19:48:03.410 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 19:48:02.691 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 19:52:53.098 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 19:52:53.255 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 19:52:54.065 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 19:52:54.249 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 19:52:53.255 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 19:52:54.249 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 19:56:34.521 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 19:56:34.700 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 19:56:36.040 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 19:56:34.700 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 19:56:37.094 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:02:01.691 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:02:01.890 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:02:02.689 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:02:03.494 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:02:01.890 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:05:44.292 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:05:44.311 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:06:48.710 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:06:48.875 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:06:48.876 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:07:57.933 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:07:58.115 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:07:58.473 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/history/conferences/main_lobby.json')}
2025-07-13 20:07:58.115 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:27:45.929 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, 'backend/agent_core/core.py')}
2025-07-13 20:27:48.076 | INFO     | backend.main:<module>:35 - 🚀 Gateway API gestartet.
2025-07-13 20:27:48.232 | INFO     | backend.routes.websocket:watcher:59 - 👀 Watcher gestartet für: backend/
2025-07-13 20:27:48.232 | INFO     | backend.routes.websocket:start_watcher:67 - 🧵 Watcher-Thread gestartet.
2025-07-13 20:28:01.038 | INFO     | __main__:<module>:35 - 🚀 Gateway API gestartet.
